identifier,d_interlayer,bond_average,bond_equatorial,bond_axial,angleXMX_average,angleXMX_equatorial,angleXMX_axial,angleMXM_average
334,9.179934262044505,3.2046110401122703,3.204680951111398,3.2044712181140143,170.95411090184768,170.9032990708393,171.05573456386458,154.80413182718038
335,9.355289972308757,3.2193082515896307,3.20364545764988,3.250633839469131,169.5878333131225,169.00069526466638,170.76210941003472,152.7126499507657
336,9.430445463439646,3.232305657863023,3.2309026931702487,3.235111587248571,174.38752257590534,173.44073874796737,176.28109023178132,153.5271645795376
337,10.195534468764606,3.2069772157049794,3.1953460310832966,3.2302395849483454,172.97801519982193,171.68567378181635,175.56269803583302,148.22072142042305
338,9.92349992216053,3.197309953218328,3.1788739625840954,3.2341819344867933,165.68704539625443,161.73861002836793,173.5839161320274,158.31713747299685
339,10.194145081595801,3.19540494223331,3.1680063790903343,3.2502020685192603,170.730853345455,170.67375182957915,170.84505637720667,148.53396446079438
340,9.767370615495656,3.219862792661195,3.230735319878513,3.1981177382265598,172.54434783389385,171.97796732686908,173.67710884794332,157.65673344995795
341,10.053813747702119,3.2051140961809748,3.204283272229045,3.2067757440848346,173.0827861106205,172.6524796730035,173.94339898585437,152.76914670929088
342,10.167657430814572,3.2045471333573783,3.1975835549525895,3.218474290166954,166.98550921514365,165.80499444466378,169.34653875610343,160.80764389215284
343,10.480791006224592,3.282334273060242,3.3324659381211097,3.1820709429385077,167.79337686913067,169.24489310877772,164.8903443898366,150.1763825919534
344,10.361725542181796,3.2390142824181,3.2549170385407438,3.2072087701728114,170.49915505608152,168.14037349811895,175.21671817200664,166.90366117710366
345,10.858714247963018,3.215383464479738,3.205772446847473,3.234605499744267,170.24585049588896,170.3372827579839,170.06298597169908,147.39311161851614
346,10.28065793271126,3.2349118087736124,3.2268799657629894,3.2509754947948584,167.8072111155763,166.52057650729336,170.3804803321422,147.62265397911418
347,8.792257870308553,3.219065067979655,3.237516541722436,3.1821621204940924,168.50587991168197,167.43244629636172,170.65274714232248,164.74500989204665
348,8.533087623880725,3.2673465978615788,3.2830673685617633,3.2359050564612106,170.9538451393179,171.0623147912309,170.73690583549188,147.92260174075065
349,7.485902782286085,3.295887955116825,3.329955145022682,3.2277535753051114,166.6016487819788,166.4792000592672,166.84654622740197,147.88682397761903
350,7.989583585553974,3.202659133645947,3.165174372719083,3.2776286554996763,173.12962478902264,174.6490170268158,170.09084031343636,150.8248294080035
351,8.172009745851486,3.2103521849502656,3.188612392970226,3.253831768910346,173.40695780864723,176.5455299596584,167.1298135066249,149.00131364987186
352,8.023083284888868,3.186406566906058,3.171609723780957,3.2160002531562597,175.88143248244776,176.09529711398022,175.45370321938293,158.54727535747062
353,8.487019781418963,3.201117829367019,3.1911370371090997,3.2210794138828573,173.60664222820358,174.3614095560052,172.09710757260035,149.6177611357649
354,8.70256938091659,3.269747332598236,3.3061933482230534,3.196855301348599,168.77356084794425,169.1323513899141,168.0559797640046,156.43953643693015
355,11.972188723545369,3.2134866157466373,3.2155790019380976,3.209301843363717,171.7768350880309,172.52933236492484,170.27184053424304,149.22234371157703
356,12.043984050191046,3.2571483441688236,3.2709521884715658,3.229540655563339,169.0064349634672,169.91929738646556,167.18071011747043,146.71480545627148
357,10.246257618920142,3.19633326550916,3.1719100202042205,3.2451797561190387,173.26439939272416,172.06799270558145,175.65721276700955,152.93860410930262
358,10.696487256238543,3.1982661724924473,3.1832413527165038,3.2283158120443334,169.98085341054912,170.14811450692412,169.64633121779912,146.50939594214552
359,9.887362044010462,3.1749436503181467,3.1446230348353144,3.2355848812838115,168.20168068822787,164.91788288288961,174.7692762989044,162.6364116940587
360,10.136758254397991,3.382185870826898,3.4476995700766544,3.2511584723273836,161.1464955234434,161.04018476007445,161.35911705018134,142.62102464457922
361,5.2101623692355385,3.231917267039195,3.2198095657854005,3.2561326695467834,169.03660764605903,169.7634836168293,167.58285570451852,167.11061419861772
362,9.02639805609266,3.230345668903371,3.2389935736288216,3.213049859452471,168.27893116016097,167.9717389983772,168.8933154837285,147.7072402026705
363,9.57779146732321,3.225119985016025,3.2246414563362795,3.2260770423755156,169.9091606103834,170.13530404730392,169.45687373654238,150.28643276235016
364,7.07651358434319,3.219137155531334,3.214870929701052,3.2276696071918987,167.56098468295804,166.10724065025425,170.4684727483655,153.14612850044358
365,7.220310601782996,3.2236358178569575,3.226478677814923,3.217950097941027,166.9677350579926,166.524198424985,167.8548083240078,150.4112991628431
366,6.04652931203899,3.3967594892807846,3.487466577783792,3.2153453122747697,165.03142479102692,173.1423722448821,148.80952988331663,153.7206907592356
367,7.997260137836516,3.1895883138505474,3.1626654209678997,3.2434340996158424,170.88009826297312,171.05130072387985,170.53769334115972,158.31953303984102
368,8.36852565515066,3.2122571457123144,3.197412330395704,3.241946776345535,170.04129297995686,167.5986041571949,174.92667062548077,148.17882295409126
369,7.92394579865433,3.211243997824701,3.1893399277353565,3.25505213800339,171.85511502321637,172.3330534080891,170.89923825347094,149.57963174238563
370,7.41775722857555,3.2802399310839796,3.2969562754115262,3.246807242428886,174.6722518701968,175.99220533698448,172.03234493662143,149.89774121465774
371,8.277794043047253,3.206270069247017,3.1923324989242747,3.2341452098925014,169.517052096168,168.53202415968278,171.4871079691385,155.1255513799691
372,8.491296587616192,3.2210712190886657,3.2102880962062716,3.2426374648534546,171.7539312630402,173.4056496275265,168.45049453406764,147.48770630698132
373,8.093307392653543,3.238717586538575,3.253844692470548,3.208463374674629,173.56898836686685,172.63703852624593,175.43288804810865,148.6794263944259
374,8.405839095319571,3.2615260207294106,3.2673814065027544,3.249815249182724,165.64366890824678,167.09553191961038,162.7399428855195,161.42139099732861
375,8.706484672255481,3.267384076508923,3.287422945104482,3.227306339317804,160.7502718532747,159.53865369342958,163.173508172965,152.02233030102357
376,4.169250571685993,3.225266028703732,3.195557485287098,3.284683115536999,174.96813535086542,175.45509451771312,173.99421701717012,145.02853592143765
