identifier,height,width,length
90,11.453165407607226,3.019950792212093,5.250282879007514
97,11.069723116525001,3.6388439067648135,4.949756799698259
100,12.545914635389225,3.592252996483563,5.273689794717046
101,16.22347895577243,3.762041252111591,4.771631111578644
102,19.995305130206056,3.76929406750123,5.324699433822058
103,13.7131780308931,3.6651887338176863,5.987761922868419
104,15.954727125715722,3.718958146172941,6.506896524142304
105,13.523791354322633,3.9008494121153445,3.816811884962841
106,17.740363885681326,3.5272259014058758,4.606019202097687
107,22.043136652779758,4.588849229472022,4.855882709672681
108,6.635938225892939,2.7440240222536523,3.9482063968251335
110,6.672744485265849,1.7944998261650782,4.867420462971577
111,6.994309310501844,2.137313190019046,3.9898659927466626
112,9.30871863304317,1.7947960623427022,4.839750852709164
113,9.219943270573559,3.1740702085872528,4.060756330715335
114,8.638980611129412,3.4890774239759916,3.5547420023779175
115,8.902662311312017,2.8831796608072002,4.748338121612633
116,8.902852775260586,2.73669268724299,4.934894096122525
118,8.968360106361324,2.7858300199928654,4.02355063958288
120,8.66143343004093,3.4199652483059646,3.8639839949953947
121,8.87681829350811,3.495583870893407,3.9115314297123103
122,8.805704522237928,3.0764632090105355,4.169149686223632
131,11.078486061903828,3.1518209707816895,4.816110490543946
133,11.187748029661826,3.7325924133775823,5.005319401013627
141,8.891239883379821,2.6795731601447805,4.846875873277101
145,11.964510528125837,3.7811271105803277,4.897631780300406
146,13.875167370241062,3.9000166575204056,5.086330093991446
147,12.221808171990345,3.8034711964205905,4.780129447108919
148,15.906926804631215,2.7805945346245453,5.228337211107599
149,19.246372487515625,4.01988569675635,4.927974655318144
150,12.07688197245852,2.7405539680905515,3.9503639426483086
151,13.497776932812268,3.4966861155410305,5.9736781322895816
152,11.13321812347447,2.8183174912981936,6.859658465734905
153,15.858485436871678,3.2482119039239348,5.017338572151933
154,18.662340171261917,2.934941601178627,5.664046901263178
161,7.82468017358906,2.4381085088635084,4.213140788130992
167,5.204002569334615,1.6606898835409716,3.6717738354259395
168,5.610813569750474,1.443615305604119,4.3351237351601055
170,13.077730965428188,3.1402558770389257,4.034897593872831
175,10.972661865053684,2.7695793594301965,4.323382884605147
183,11.294605085176727,2.918347023561467,4.179232047325566
188,7.702542740778223,1.6796440591376811,7.2053338817444486
189,18.337221857415415,3.3719925570031837,4.704421255464525
190,7.569956028709334,2.7734898866614355,3.9984304454234403
191,9.019917636332682,3.248313345452557,4.041650405589756
193,8.984940218672634,2.971453545181955,4.16226758950561
194,8.838023490664675,3.4420100667402576,4.160403286029479
195,11.104047841194665,3.78628333089883,5.205758294662948
196,12.993169715945346,3.552616215925111,4.460955088708909
200,18.323664821823723,3.796593291398642,6.737588817950062
201,16.239198558754225,1.9335692770361168,6.71963996234342
202,12.547451129277949,3.0272344800187483,4.333752965868779
203,13.518854122831893,3.9081522478422266,4.042688447724737
204,12.570180142975424,3.819289662859982,4.596921196320993
205,14.47172411677816,2.8453512811056685,5.703517111619405
206,21.989803328615608,3.2359236803817932,5.745272210675511
211,10.064217203174012,2.7997714885973686,4.335584996223107
212,7.055109611977415,3.9028612669822382,4.291924414913057
216,12.954737554874995,3.626959645418807,4.442121393316925
217,12.962172511775591,3.8018805850458,4.669654505545809
218,7.051066597355108,2.320857679964456,5.35545361841544
220,9.382037408246713,4.438605280727684,4.116742007012398
221,9.397007300241334,5.729759640298263,4.222426128873216
222,9.971082790216656,2.970720579959523,3.622171512887908
223,13.081648550617912,2.9170968380426907,4.157458494400246
224,11.281871973662849,3.673909609772916,4.596367165997895
228,8.935561618744508,4.365467835065576,3.8086979567115593
229,8.816517090316543,3.264068999007438,4.463923494513832
232,18.227162810359438,3.749678706992569,5.7399399647065055
233,18.313145569220964,3.971084623516075,4.93852463027488
234,12.08150516634514,3.6462825639437106,5.432223775680127
239,23.863918549763092,3.8624528563407496,4.780400803319054
243,15.874208140306225,3.826295770819177,4.220799801805319
258,10.933055001145199,2.976735381622406,4.39698481032666
260,10.55786328160736,2.69297135823127,4.283306173102504
262,10.68422087833784,2.6435032837945363,4.247400594054028
267,13.563146048180403,3.596270396123474,5.4057969243960535
269,12.683154704509327,3.250461979747543,4.296679512201082
270,12.714867449075534,3.782449472943696,4.665870012720206
271,12.652997337132064,3.7843603373212518,5.045492791499406
272,12.814926781983067,4.025220339227553,4.151250580900748
273,12.520678791395902,3.8344576885775137,4.782037824336562
274,12.470243804113025,3.8076387256858526,4.868571449122113
275,12.420130299122157,3.7463244360466756,5.307016373967102
276,10.315725807448196,3.6356633079497027,4.818092751193388
277,10.464191360017978,3.523738090164623,5.4226870335800355
278,11.008198722167647,3.7472703603925734,3.5197790621324745
279,9.624272698971936,3.579453961424001,4.2652326627500035
280,9.784748010950294,3.1301068405028403,5.188206636333488
281,10.0611847111158,3.2661565909455152,4.0388393364877935
282,10.000652048843428,3.241815000136296,3.842455670804215
283,7.6072869985444935,2.8485411907696347,4.177557353599438
284,7.5545834009090616,2.851131575647923,3.911926396571726
285,8.943508141675842,2.9216154695219516,3.472151426969191
286,7.847974355949313,3.4078969102838483,4.401116732588991
287,8.827738025560887,4.249043545800516,4.414989142909505
288,8.934212781452516,4.235871396869008,4.003731685154527
289,16.855516611066307,4.089774683818122,4.483859016440469
290,16.92976640121239,3.793720169044794,4.735903191945897
291,15.570713169559,4.0109475583038625,5.313802740731283
292,14.990352159074693,4.044864923598005,5.146061776403147
293,14.545910330618371,3.712109872147579,3.8233175060950497
294,12.195389218159349,2.8893480235927838,4.236858975326209
295,12.517022649175228,4.314673104832699,5.048798233361174
296,13.42152245424484,3.68794139810518,4.907892997090913
297,13.464384438008173,3.714724033207313,4.183179856359712
298,13.50112745479422,3.465935255815574,4.273525136698709
299,13.523549331638703,5.0483392686084265,3.953087516310309
300,16.645539219338225,3.9126985536671555,5.384145138909255
301,16.520798525617984,3.820493375697168,5.021666672281102
302,16.553164714296088,3.2697844521150414,5.06284384195194
303,16.53562178882686,3.8680892465888377,5.894503526718797
304,15.31708787333747,3.9953054437623443,5.425598642237679
305,14.997265364565303,3.4987720748878313,5.3732890101035276
306,14.490077220958078,3.8588284044779826,5.202875502422934
307,13.772548238828904,3.5359743156115964,4.551092121337379
