identifier,ringcount,linkage_p,six_ring_p,primaryamine,linker_length,linker_position,hetero_nitrogen,fluorination,furan,pyrrole,sidechain_on_linker,sidechain_on_backbone
251,2,1.0,0.5,1,1,0.8333333333333334,0,0,1,0,0,0
252,2,1.0,0.5,1,1,1.0,0,0,1,0,0,0
254,2,1.0,0.5,1,1,0.8333333333333334,0,0,0,0,0,0
255,2,1.0,0.0,1,1,1.0,0,0,1,0,0,0
256,2,1.0,0.0,1,1,1.0,0,0,1,0,0,0
257,2,1.0,0.0,1,0,1.0,0,0,0,0,0,0
258,2,1.0,0.5,1,1,1.0,0,0,0,0,0,0
259,2,1.0,0.5,1,1,1.0,0,0,1,0,0,0
260,2,1.0,0.5,1,1,1.0,0,0,0,0,0,0
261,2,1.0,0.5,1,1,0.8333333333333334,0,0,0,0,0,0
262,2,1.0,0.5,1,1,1.0,0,0,0,0,0,0
263,2,1.0,0.5,1,1,0.8333333333333334,0,0,0,0,0,0
264,2,1.0,0.5,1,1,0.8333333333333334,0,0,1,0,0,0
265,2,1.0,0.5,1,1,0.8333333333333334,0,0,0,0,0,0
266,2,1.0,0.0,1,1,1.0,0,0,0,0,0,0
267,3,0.0,1.0,2,2,1.0,0,0,0,0,0,0
268,4,0.0,1.0,2,2,1.0,0,0,0,0,0,0
269,2,1.0,0.5,2,2,1.0,0,0,0,0,0,0
270,2,1.0,0.5,2,2,1.0,0,0,0,0,0,0
271,2,1.0,0.0,2,2,1.0,0,0,0,0,0,0
272,2,1.0,0.5,2,2,1.0,0,0,0,0,0,0
273,2,1.0,0.0,2,2,1.0,0,0,0,0,0,0
274,2,1.0,0.0,2,2,1.0,0,0,0,0,0,0
275,2,1.0,0.0,2,2,1.0,0,0,0,0,0,0
276,2,0.0,0.5,2,2,1.0,0,0,0,0,0,0
277,2,0.0,0.5,2,2,1.0,0,0,0,0,0,0
278,2,0.0,0.0,2,2,1.0,0,0,0,0,0,0
279,2,0.0,0.0,2,2,0.75,0,0,0,0,0,0
280,2,0.0,0.0,2,2,0.75,0,0,0,0,0,0
281,1,0.0,0.0,2,3,1.0,0,0,0,0,0,0
282,1,0.0,0.0,2,3,1.0,0,0,0,0,0,0
283,1,0.0,0.0,2,1,1.0,0,0,0,0,0,0
284,1,0.0,0.0,2,1,1.0,0,0,0,0,0,0
285,1,0.0,0.0,2,2,1.0,1,0,0,0,0,0
286,1,0.0,0.0,2,2,1.0,1,0,0,0,0,0
287,1,0.0,0.0,2,2,1.0,0,0,0,0,1,0
288,1,0.0,0.0,2,2,1.0,0,0,0,0,1,0
289,3,1.0,0.6666666666666666,2,2,1.0,0,0,0,0,0,0
290,3,1.0,0.6666666666666666,2,2,1.0,0,0,0,0,0,0
291,3,0.5,1.0,2,2,1.0,0,0,0,0,0,0
292,3,0.5,0.6666666666666666,2,2,1.0,0,0,0,0,0,0
293,2,1.0,1.0,2,3,1.0,0,0,0,0,0,0
294,2,1.0,1.0,2,1,1.0,0,0,0,0,0,0
295,2,1.0,1.0,2,2,0.8571428571428571,0,0,0,0,0,0
296,2,1.0,1.0,2,2,1.0,1,0,0,0,0,0
297,2,1.0,1.0,2,2,1.0,1,0,0,0,0,0
298,2,1.0,1.0,2,2,1.0,0,1,0,0,0,0
299,2,1.0,1.0,2,2,1.0,0,0,0,0,1,0
300,3,1.0,0.6666666666666666,2,2,1.0,0,0,0,0,0,0
301,3,1.0,0.3333333333333333,2,2,1.0,0,0,0,0,0,0
302,3,1.0,0.3333333333333333,2,2,1.0,0,0,0,0,0,0
303,3,1.0,0.3333333333333333,2,2,1.0,0,0,0,0,0,0
304,3,1.0,0.3333333333333333,2,2,1.0,0,0,0,0,0,0
305,3,0.5,0.6666666666666666,2,2,1.0,0,0,0,0,0,0
