identifier,HOMO,LUMO,HOMO_LUMO_gap
339,-12.203,-7.34,4.8629999999999995
340,-11.802,-7.375,4.427
341,-11.514,-6.861,4.653
342,-12.138,-7.246,4.8919999999999995
343,-11.965,-7.127,4.838
344,-11.898,-7.02,4.878
345,-10.988,-7.538,3.4499999999999993
346,-11.441,-7.288,4.1530000000000005
347,-11.808,-7.518,4.29
348,-12.156,-7.796,4.36
349,-12.344,-8.034,4.309999999999999
350,-12.712,-8.244,4.468
351,-12.202,-7.923,4.279
352,-12.138,-7.923,4.215
353,-12.171,-7.945,4.225999999999999
354,-12.042,-7.7,4.342
355,-11.021,-6.682,4.339
356,-11.004,-7.102,3.9019999999999992
357,-11.476,-7.25,4.226000000000001
358,-11.218,-7.44,3.7779999999999996
359,-11.658,-7.38,4.278
360,-11.44,-7.267,4.172999999999999
361,-14.288,-10.265,4.023
362,-12.044,-7.408,4.636
363,-12.04,-7.274,4.765999999999999
364,-12.96,-8.222,4.738000000000001
365,-12.942,-8.22,4.7219999999999995
366,-12.573,-7.871,4.702
367,-12.769,-7.941,4.828
368,-12.902,-8.235,4.667
369,-12.89,-7.892,4.998
370,-12.952,-8.09,4.862
371,-12.473,-7.884,4.589
372,-12.362,-7.876,4.486
373,-12.436,-7.912,4.524
374,-12.302,-7.704,4.598
375,-12.274,-7.646,4.627999999999999
376,-17.3318,-12.0884,5.243400000000001
377,-16.505,-11.012,5.4929999999999986
378,-16.403,-11.0,5.402999999999999
379,-13.094,-6.939,6.154999999999999
380,-14.101,-7.745,6.356000000000001
381,-13.642,-7.574,6.068
382,-14.287,-8.283,6.004000000000001
383,-14.066,-7.945,6.121
384,-13.685,-7.665,6.0200000000000005
385,-13.599,-7.638,5.961
386,-13.659,-7.505,6.154000000000001
387,-13.685,-7.521,6.164000000000001
388,-13.623,-7.417,6.2059999999999995
389,-15.405,-9.173,6.231999999999999
390,-14.745,-8.541,6.203999999999999
391,-14.224,-8.069,6.154999999999999
392,-13.957,-8.315,5.642000000000001
393,-14.06,-8.285,5.775
394,-14.108,-7.96,6.148000000000001
395,-14.35,-9.062,5.288
396,-14.847,-8.396,6.450999999999999
397,-14.558,-8.673,5.885
398,-14.53,-8.342,6.187999999999999
399,-14.538,-8.431,6.107000000000001
400,-13.96,-8.116,5.844000000000001
401,-13.988,-8.133,5.855
402,-10.657,-6.228,4.429
403,-10.647,-6.289,4.3580000000000005
404,-10.421,-6.277,4.143999999999999
405,-10.642,-6.516,4.1259999999999994
406,-10.402,-6.618,3.783999999999999
407,-11.076,-6.764,4.312
408,-13.227,-9.509,3.718
409,-13.744,-9.455,4.289
410,-11.68,-6.943,4.737
411,-11.488,-6.78,4.707999999999999
412,-12.377,-7.507,4.870000000000001
413,-12.434,-7.547,4.887
414,-12.078,-7.306,4.771999999999999
415,-12.333,-7.48,4.853
416,-12.14,-7.267,4.873
417,-12.253,-7.637,4.6160000000000005
418,-11.914,-7.049,4.864999999999999
419,-11.839,-7.126,4.713
420,-11.518,-6.909,4.609000000000001
421,-11.617,-6.774,4.843000000000001
422,-11.857,-7.062,4.794999999999999
423,-11.755,-6.93,4.825000000000001
424,-13.738,-9.741,3.997
425,-11.446,-7.171,4.2749999999999995
426,-12.296,-8.008,4.288
427,-11.991,-7.755,4.236
428,-12.172,-7.933,4.239000000000001
429,-11.712,-7.6,4.112
430,-11.398,-7.212,4.186
431,-11.677,-7.499,4.178
432,-14.692,-10.566,4.1259999999999994
433,-11.87,-7.105,4.764999999999999
434,-13.07,-8.08,4.99
435,-12.646,-7.756,4.890000000000001
436,-12.293,-7.412,4.880999999999999
437,-12.521,-7.789,4.732000000000001
438,-15.872,-10.414,5.458
439,-17.695,-12.35,5.345000000000001
440,-17.4765,-11.819,5.657500000000001
441,-17.8363,-12.4767,5.359600000000002
442,-16.352,-10.988,5.364000000000001
443,-16.537,-11.12,5.417
444,-12.918,-7.269,5.648999999999999
445,-13.968,-8.072,5.896000000000001
446,-13.636,-7.897,5.738999999999999
447,-13.492,-7.757,5.735000000000001
448,-13.093,-7.327,5.766
449,-12.509,-6.714,5.795
450,-13.334,-7.6,5.734
451,-15.302,-9.363,5.939
452,-15.514,-9.687,5.827
453,-14.733,-8.781,5.952
454,-15.266,-8.919,6.3469999999999995
455,-14.3,-8.519,5.781000000000001
456,-14.363,-8.624,5.738999999999999
457,-17.59,-11.684,5.906000000000001
458,-13.908,-8.095,5.812999999999999
459,-13.156,-7.032,6.1240000000000006
460,-13.791,-7.998,5.793
461,-10.745,-6.124,4.6209999999999996
462,-10.751,-6.136,4.614999999999999
463,-10.594,-6.183,4.411
464,-10.805,-6.356,4.449
465,-13.424,-9.109,4.3149999999999995
466,-11.71,-6.61,5.1000000000000005
467,-11.57,-6.869,4.7010000000000005
468,-12.362,-7.386,4.976
469,-12.55,-7.445,5.105
470,-11.924,-7.037,4.887
471,-12.122,-7.204,4.918
472,-12.009,-7.44,4.569
473,-12.337,-7.544,4.793
474,-12.635,-7.45,5.185
475,-11.749,-7.125,4.6240000000000006
476,-11.483,-6.825,4.658
477,-12.098,-7.075,5.023000000000001
478,-11.942,-7.234,4.708
479,-11.874,-6.885,4.989000000000001
480,-11.932,-6.947,4.985
481,-10.589,-6.261,4.328
482,-10.609,-6.506,4.103
483,-11.647,-6.716,4.931
484,-12.352,-7.451,4.901000000000001
485,-12.027,-7.041,4.985999999999999
486,-12.265,-7.508,4.757000000000001
487,-11.854,-6.854,4.999999999999999
488,-11.54,-6.708,4.831999999999999
489,-11.88,-6.863,5.017
490,-10.572,-6.217,4.3549999999999995
491,-10.61,-6.325,4.284999999999999
492,-10.641,-6.501,4.14
493,-13.499,-8.931,4.568000000000001
494,-13.362,-9.577,3.785
495,-11.519,-6.744,4.775
496,-11.237,-6.408,4.829
497,-12.378,-7.466,4.912
498,-12.31,-7.427,4.883000000000001
499,-12.484,-7.359,5.125
500,-12.156,-7.577,4.579000000000001
501,-12.005,-7.161,4.844000000000001
502,-12.294,-7.351,4.9430000000000005
503,-11.802,-7.002,4.8
504,-11.824,-6.807,5.0169999999999995
505,-11.4451,-6.893,4.5521
506,-11.517,-6.584,4.933
507,-11.759,-6.904,4.855
508,-11.765,-6.839,4.926
509,-10.366,-6.463,3.9029999999999996
510,-10.363,-6.465,3.8979999999999997
511,-10.395,-6.79,3.6049999999999995
512,-13.667,-9.652,4.015000000000001
513,-11.505,-7.147,4.3580000000000005
514,-11.406,-7.034,4.372000000000001
515,-12.293,-7.9,4.392999999999999
516,-12.197,-7.871,4.325999999999999
517,-11.674,-7.329,4.345
518,-12.326,-7.926,4.4
519,-12.087,-7.805,4.282
520,-11.91,-7.579,4.331
521,-12.158,-7.937,4.220999999999999
522,-11.665,-7.402,4.262999999999999
523,-11.735,-7.417,4.318
524,-11.405,-7.135,4.27
525,-11.352,-7.059,4.293
526,-11.724,-7.316,4.408
527,-11.646,-7.27,4.376000000000001
528,-10.991,-7.492,3.4989999999999997
529,-11.522,-7.149,4.373
530,-11.409,-7.193,4.216000000000001
531,-11.227,-7.25,3.9770000000000003
532,-11.683,-7.301,4.382
533,-11.592,-7.116,4.476000000000001
534,-14.312,-10.2,4.112
535,-12.05,-7.388,4.662000000000001
536,-12.01,-7.08,4.93
537,-12.951,-8.14,4.811
538,-12.932,-8.091,4.841000000000001
539,-12.453,-7.573,4.879999999999999
540,-12.792,-8.149,4.643000000000001
541,-12.856,-8.034,4.821999999999999
542,-12.892,-7.759,5.132999999999999
543,-12.964,-8.1,4.864000000000001
544,-12.454,-7.678,4.776000000000001
545,-12.396,-7.717,4.679000000000001
546,-12.411,-7.72,4.691
547,-12.314,-7.573,4.741
548,-12.246,-7.366,4.880000000000001
549,-11.123,-7.583,3.539999999999999
550,-11.55,-7.215,4.335000000000001
551,-11.314,-7.436,3.878
552,-11.594,-6.864,4.7299999999999995
