identifier,inorganic_cbm_gamma,inorganic_cbm_z,inorganic_vbm_gamma,inorganic_vbm_z,organic_LUMO,organic_HOMO,alignment_type
153,2.6005760089634173,2.6005760089634173,-0.09562399103658248,-0.09562399103658248,3.7912760089634174,0.2259760089634174,IIa
154,2.290801008968819,2.290801008968819,0.21140100896881908,0.21140100896881908,3.4837010089688194,0.34380100896881916,IIa
161,2.3502260089648144,2.3223260089648146,-0.1016739910351856,0.10152600896481445,3.1372260089648147,-3.1487739910351853,Ia
163,2.3155510089650475,2.2829510089650475,0.056951008965047234,0.29725100896504725,3.1399510089650473,-2.9879489910349526,Ia
167,2.7033760089734526,2.6810760089734527,-0.23252399102654764,0.2349760089734524,2.9917760089734524,-3.2971239910265475,Ia
168,2.804626008961974,2.752126008961974,-0.2408739910380261,-0.009973991038026209,2.465426008961974,-3.709173991038026,IIb
170,2.5144760089639298,2.5144760089639298,0.050376008963929686,0.050376008963929686,4.69177600896393,-0.047223991036070334,Ia
175,2.2645510089648146,2.2645510089648146,0.04425100896481449,0.04425100896481449,4.976051008964814,-1.1324489910351856,Ia
179,2.364351008969797,2.364351008969797,0.19875100896979692,0.19875100896979692,3.4762510089697973,0.886451008969797,IIa
180,2.6013010089656525,2.6013010089656525,-0.03609899103434733,-0.03609899103434733,4.016301008965653,0.8010010089656526,IIa
181,2.5277760089662347,2.5277760089662347,0.1667760089662348,0.1667760089662348,3.704876008966235,0.8864760089662347,IIa
182,2.656426008974919,2.656426008974919,0.06062600897491921,0.06062600897491921,3.5310260089749193,0.9674260089749193,IIa
183,2.4819010089623466,2.4819010089623466,-0.013598991037653607,-0.013598991037653607,2.7591010089623467,-2.1219989910376533,Ia
184,2.4401760089702393,2.4401760089702393,-0.04542399102976058,-0.04542399102976058,2.4807760089702393,-0.06372399102976056,Ia
185,2.4894510089617645,2.4894510089617645,-0.1183489910382357,-0.1183489910382357,3.3774510089617644,-0.6661489910382358,Ia
186,2.6442260089686327,2.6442260089686327,0.01502600896863282,0.01502600896863282,2.4811260089686327,0.6018260089686329,Ib
188,2.6624260089591334,2.6624260089591334,-0.06537399104086661,-0.06537399104086661,3.2410260089591336,-1.1448739910408667,Ia
189,2.3365010089555245,2.3365010089555245,0.20300100895552442,0.20300100895552442,3.8341010089555247,0.5649010089555245,IIa
190,2.341901008975967,2.3035010089759673,-0.04749899102403299,0.320501008975967,4.539701008975967,-2.268498991024033,Ia
191,2.3179010089578296,2.3179010089578296,0.019201008957829502,0.019201008957829502,4.150301008957829,-1.4744989910421702,Ia
193,2.4847510089583884,2.4847510089583884,0.016651008958388336,0.016651008958388336,4.268951008958388,-1.3559489910416116,Ia
194,2.3357510089772013,2.3357510089772013,-0.003048991022798986,-0.003048991022798986,4.142051008977201,-1.4519489910227992,Ia
195,2.5514260089682836,2.5514260089682836,0.19212600896828358,0.19212600896828358,4.075826008968283,-0.6124739910317164,Ia
196,2.511101008973569,2.511101008973569,-0.06059899102643118,-0.06059899102643118,4.115101008973569,-0.9740989910264312,Ia
200,2.602676008969401,2.602676008969401,-0.07812399103059875,-0.07812399103059875,2.481476008969401,0.6157760089694012,Ib
201,2.46612600897152,2.46612600897152,-0.07737399102848008,-0.07737399102848008,2.1600260089715198,0.24602600897151994,Ib
202,2.268551008980484,2.268551008980484,0.037251008980483946,0.037251008980483946,4.871751008980484,0.6358510089804839,IIa
203,2.523901008974244,2.523901008974244,-0.014498991025755914,-0.014498991025755914,3.9820010089742444,-1.2370989910257557,Ia
204,2.437026008966328,2.437026008966328,0.1430260089663279,0.1430260089663279,3.9861260089663277,-0.6825739910336722,Ia
205,2.4045510089682605,2.4045510089682605,-0.04294899103173966,-0.04294899103173966,4.22495100896826,0.06895100896826034,IIa
206,2.3872510089606003,2.3872510089606003,-0.0038489910393998406,-0.0038489910393998406,3.7099510089606005,0.8714510089606002,IIa
209,2.6603010089738253,2.6603010089738253,-0.02589899102617499,-0.02589899102617499,3.585701008973825,-0.44479899102617504,Ia
211,2.4081260089695875,2.4081260089695875,-0.015273991030412493,-0.015273991030412493,4.855426008969587,-1.4205739910304125,Ia
212,2.63865100897308,2.59905100897308,-0.27714899102692014,0.02495100897307989,2.90135100897308,-3.20764899102692,Ia
213,2.525876008968051,2.487576008968051,-0.10332399103194922,0.1504760089680508,2.852476008968051,-3.2334239910319496,Ia
216,2.5438260089589706,2.5438260089589706,-0.08717399104102963,-0.08717399104102963,3.8982260089589706,-1.1461739910410298,Ia
217,2.590701008976689,2.590701008976689,-0.05089899102331119,-0.05089899102331119,3.804301008976689,-0.7652989910233111,Ia
218,2.398476008967655,2.348976008967655,-0.07452399103234508,0.19667600896765491,2.694976008967655,-3.019523991032345,Ia
220,2.5706010089667473,2.5706010089667473,-0.11959899103325311,-0.11959899103325311,4.422601008966747,-1.814398991033253,Ia
221,2.679301008977853,2.679301008977853,-0.12229899102214703,-0.12229899102214703,4.338201008977853,-1.7548989910221469,Ia
222,2.4622760089773874,2.4622760089773874,0.1749760089773873,0.1749760089773873,4.554176008977387,-0.9659239910226126,Ia
223,2.5497760089792734,2.5497760089792734,-0.0535239910207268,-0.0535239910207268,3.8359760089792734,-0.8105239910207268,Ia
224,2.619576008979599,2.619576008979599,-0.06922399102040078,-0.06922399102040078,3.7088760089795993,-0.9459239910204008,Ia
228,2.4704510089719394,2.4704510089719394,-0.0008489910280610191,-0.0008489910280610191,4.349851008971939,-1.3303489910280608,Ia
229,2.5200760089842094,2.5200760089842094,0.23687600898420924,0.23687600898420924,4.264376008984209,-1.1024239910157907,Ia
232,2.502451008970542,2.502451008970542,0.03655100897054209,0.03655100897054209,2.637251008970542,0.44115100897054205,IIa
233,2.6388510089754083,2.6388510089754083,-0.10384899102459177,-0.10384899102459177,2.7795510089754085,0.32635100897540825,IIa
234,2.4800510089477945,2.4800510089477945,0.3943510089477945,0.3943510089477945,4.021051008947794,-0.7261489910522055,Ia
239,2.5743010089622764,2.5743010089622764,-0.0005989910377234287,-0.0005989910377234287,2.8063010089622766,0.2371010089622766,IIa
243,2.597501008958924,2.597501008958924,0.06450100895892386,0.06450100895892386,3.690501008958924,0.12580100895892377,IIa
258,2.5201010089697973,2.5201010089697973,-0.03469899103020302,-0.03469899103020302,2.7072010089697973,-2.103298991030203,Ia
260,2.3500260089660485,2.3500260089660485,0.08622600896604837,0.08622600896604837,2.8863260089660487,-1.7755739910339514,Ia
262,2.4360510089733363,2.4360510089733363,-0.04654899102666399,-0.04654899102666399,2.9053510089733363,-1.6908489910266638,Ia
267,2.651626008971776,2.651626008971776,-0.046573991028223904,-0.046573991028223904,3.752826008971776,-0.754273991028224,Ia
269,2.505026008971776,2.505026008971776,-0.04127399102822393,-0.04127399102822393,4.295226008971776,-0.6888739910282239,Ia
270,2.4732260089560136,2.4732260089560136,0.08532600895601339,0.08532600895601339,3.9535260089560134,-0.6575739910439865,Ia
